cost_id,filename,activity_name,location,reference_product
ammonium_sulfate,d89c83ec-63e0-55b3-afc6-abd0d0f9ca46_6f4bede8-f885-499c-8ac9-6832e35d9d16.spold,primary zinc production from concentrate,RoW,ammonium sulfate
battery_separator,4c3636ed-5226-5310-bf61-21b6e0f777b4_3de8d0de-2003-45a2-849d-faceb195e561.spold,battery separator production,RoW,battery separator
battery_separator,50f7cb83-ffee-574d-9d97-4fc17a245c3c_3de8d0de-2003-45a2-849d-faceb195e561.spold,battery separator production,CN,battery separator
battery_separator,8e515110-3719-5fec-b743-12342788be23_3de8d0de-2003-45a2-849d-faceb195e561.spold,market for battery separator,GLO,battery separator
cobalt,2f79706b-8db3-5e9b-8d5a-0a2b4cce2d90_50c430bb-e392-4242-bd8e-b372d85b2cf9.spold,"treatment of used Li-ion battery, hydrometallurgical treatment",GLO,cobalt
cobalt,d89c83ec-63e0-55b3-afc6-abd0d0f9ca46_50c430bb-e392-4242-bd8e-b372d85b2cf9.spold,primary zinc production from concentrate,RoW,cobalt
cobalt,fd627ae5-24f0-565d-a8ed-c139f1cd7fa8_50c430bb-e392-4242-bd8e-b372d85b2cf9.spold,"treatment of used Li-ion battery, pyrometallurgical treatment",GLO,cobalt
cobalt_sulfate,242839a2-c1c1-52c9-b7db-9dc574ae8777_08182e61-7e1a-4e55-8aad-aaf8de6fa678.spold,market for cobalt sulfate,CN,cobalt sulfate
cobalt_sulfate,315c6ca1-f316-5216-82cd-3d084c3d235c_08182e61-7e1a-4e55-8aad-aaf8de6fa678.spold,cobalt sulfate production,RoW,cobalt sulfate
cobalt_sulfate,43cf7b10-5a3d-568d-bc72-1667ccd9eb45_08182e61-7e1a-4e55-8aad-aaf8de6fa678.spold,cobalt sulfate production,CN,cobalt sulfate
copper_cake,d89c83ec-63e0-55b3-afc6-abd0d0f9ca46_3a07b27c-f6fb-429a-b8b8-04c9e2fcddd7.spold,primary zinc production from concentrate,RoW,copper cake
copper_cathode,11650540-e706-5664-93db-45d0780d739b_fbb039f7-f9cc-46d2-b631-313ddb125c1a.spold,treatment of copper cake,GLO,"copper, cathode"
copper_cathode,401053a6-e8d4-5285-b8b1-783d6e7f45d4_fbb039f7-f9cc-46d2-b631-313ddb125c1a.spold,"treatment of non-Fe-Co-metals, from used Li-ion battery, pyrometallurgical processing",GLO,"copper, cathode"
copper_cathode,a9e4ec91-6890-52cc-ba7a-ad65a616f249_fbb039f7-f9cc-46d2-b631-313ddb125c1a.spold,"treatment of non-Fe-Co-metals, from used Li-ion battery, hydrometallurgical processing",GLO,"copper, cathode"
copper_cathode,d89c83ec-63e0-55b3-afc6-abd0d0f9ca46_fbb039f7-f9cc-46d2-b631-313ddb125c1a.spold,primary zinc production from concentrate,RoW,"copper, cathode"
copper_sulfate,d89c83ec-63e0-55b3-afc6-abd0d0f9ca46_38646d90-4680-4034-b60a-ccb48a2f6853.spold,primary zinc production from concentrate,RoW,copper sulfate
graphite_block,196f28fd-4f6e-5d01-8eae-dbf067d0df7f_e231bf8b-5910-4b28-9659-558bdf63bc8c.spold,"graphite block production, via Acheson block route",CN,graphite block
graphite_chips,cf3b9527-cf77-5bc1-af22-e494626e4bd7_11ed5810-01d6-4877-b27a-338f3fdf1e67.spold,"synthetic graphite production, battery grade, via Acheson powder route",CN,graphite chips
graphite_fines,2781cc1d-013c-5f79-b12c-26ed4083b1cb_383526a8-183c-4b0a-8869-9c9e1a0b1100.spold,purified natural graphite production,CN,graphite fines
graphite_fines,cf3b9527-cf77-5bc1-af22-e494626e4bd7_383526a8-183c-4b0a-8869-9c9e1a0b1100.spold,"synthetic graphite production, battery grade, via Acheson powder route",CN,graphite fines
heat_district_or_industrial_other_than_natural_gas,98dd571f-65c1-51d3-b028-e989fe8630ce_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold,"steel production, electric, low-alloyed",AT,"heat, district or industrial, other than natural gas"
heat_district_or_industrial_other_than_natural_gas,d624ffd8-1b2c-547f-9d23-e851ee446714_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold,"steel production, electric, low-alloyed",RoW,"heat, district or industrial, other than natural gas"
lithium_carbonate,2f79706b-8db3-5e9b-8d5a-0a2b4cce2d90_2ffc27c3-c08c-4d6e-a91d-98cf4765e065.spold,"treatment of used Li-ion battery, hydrometallurgical treatment",GLO,lithium carbonate
lithium_iron_phosphate,001624e5-89b7-5bd2-8399-892837eed38a_fb423247-ca26-4a05-a380-d2bb2b5a77d4.spold,market for lithium iron phosphate,RoW,lithium iron phosphate
lithium_iron_phosphate,01564c33-3c13-595a-a0ed-40bc66fb95f4_fb423247-ca26-4a05-a380-d2bb2b5a77d4.spold,"lithium iron phosphate production, hydrothermal process",RoW,lithium iron phosphate
