filename,activity_name,location,reference_product,reference_product_unit,traci_acidification,traci_climate_change,traci_ecotoxicity_freshwater,traci_eutrophication,traci_human_toxicity_carcinogenic,traci_human_toxicity_non-carcinogenic,traci_ozone_depletion,traci_particulate_matter_formation,traci_photochemical_oxidant_formation,traci_units,cost_per_unit,cost_source
00082bd6-67b0-509f-a229-7428fb2418ca_ad5a20dd-4c4d-499d-8dc1-254ebab8f3bf.spold,tin production,PE,tin,kg,0.09116866020036007,5.7223885376323835,4815.051640653353,0.19442686240579224,3.50780683958551e-6,0.00013714331179142273,5.094338782023601e-8,0.13953027260080694,2.160209265938871,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
000fe012-b19a-5e25-93a2-8190e2ed594b_e8f942ff-7b62-4639-ac4a-f922c74c151c.spold,"eucalyptus seedling production, in unheated greenhouse",RoW,"eucalyptus seedling, for planting",unit,4.789500184823231e-5,0.0062843950380710506,0.3263012338354249,1.0790600605932124e-4,3.986195457109113e-9,3.952957892317174e-9,1.176221705042215e-10,1.3845723947062038e-5,0.0006318980479539146,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
00127523-6777-5dba-a2d8-fe96ae73e3de_2c05646d-138c-4d6c-a33d-99b8e6194328.spold,"steel milling, dressing",RER,"steel removed by milling, dressing",kg,0.012701805854730592,6.145517142378246,1061.8996434703483,0.025267211723142512,1.9258296882012878e-5,4.087870132626574e-6,6.752539258811778e-8,0.0030261104510794557,0.21514635128239398,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
00138f7a-7ce5-5671-b2cc-76d906f4be22_450c5264-9840-472f-bf39-d4823f2262b5.spold,"cement production, type general use",CO,"cement, type general use",kg,0.0021200246581957864,0.5693737915994126,1.3151883728294673,0.0006074984244190884,4.7149522226451e-8,7.73431905833652e-8,1.032647381919435e-9,0.00015394217084381223,0.030565672171898334,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
00138f7a-7ce5-5671-b2cc-76d906f4be22_76ab0018-e176-43e0-b42c-12e82b937fef.spold,"cement production, type general use",CO,hard coal ash,kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
001624e5-89b7-5bd2-8399-892837eed38a_fb423247-ca26-4a05-a380-d2bb2b5a77d4.spold,market for lithium iron phosphate,RoW,lithium iron phosphate,kg,0.12858059491084098,2.746810413930622,204.70697336140793,0.06853271743927923,1.9540088498261947e-6,3.7773283643526653e-6,8.084249222157175e-8,0.010620075636134367,0.4626409082671066,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,7.083925808,EverBatt 2023
0021dda3-73e6-5b5b-881e-5cc024aeca06_66c93e71-f32b-4591-901c-55395db5c132.spold,"heat and power co-generation, wood chips, 6667 kW",IN-CT,"electricity, high voltage",kWh,0.0026621098388143823,0.060186205496403127,1.1716204521147766,0.0001801385474246359,2.9465587085894836e-8,2.0705871440040327e-7,1.2057732966431598e-8,0.000530667105310951,0.07768514964551593,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
0021dda3-73e6-5b5b-881e-5cc024aeca06_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold,"heat and power co-generation, wood chips, 6667 kW",IN-CT,"heat, district or industrial, other than natural gas",MJ,1.3185608690963825e-4,0.001654678041910687,0.11321562119459215,1.0081183773247576e-5,2.525935276938839e-9,1.082233496876971e-8,2.993523989308696e-10,1.0926887605628677e-5,0.002640649209437435,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
00261dc8-97f4-5f31-ad2a-6a5e083c8137_cacf48e2-d0a6-58ec-a5a1-6f73c12871f3.spold,"treatment of residues, MSWI-WWT-SLF, municipal solid waste, residual material landfill",DK,"residues, MSWI-WWT-SLF, municipal solid waste",kg,0.0007039016372926831,0.3614617742902962,203.82266951596569,0.0039632835289071956,2.3531987410866656e-6,9.87541190451119e-6,1.5261310243419136e-9,9.214665191793288e-5,0.01060190935379508,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
0030a367-3b66-5e30-afe6-66ffc46ba80d_191aaad4-fb2d-40dc-85eb-80b0578c56c2.spold,"treatment of residues, MSWI[F], waste sealing sheet, polyethylene, residual material landfill",CH,"residues, MSWI[F], waste sealing sheet, polyethylene",kg,0.00047875792574241384,0.35367854395150433,4904.541189150899,0.01607700774191843,2.1153344452908976e-6,2.821501615741433e-5,9.492983525671092e-10,5.33924360782799e-5,0.009469221045691369,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
003aab09-5330-55bb-9987-d5cc9583372e_27da8130-82ba-485c-a800-b89efdcb0491.spold,"treatment of municipal solid waste, unsanitary landfill",HU,municipal solid waste,kg,0.0001514020399099734,0.7820801299108868,93.34305511509743,0.010911173667391423,4.882667487646465e-8,3.0491633317340267e-7,9.160457714361918e-11,1.405427289381346e-5,0.0027103235885839855,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
003c1df8-58e1-56cd-9be4-faa580cc6307_66c93e71-f32b-4591-901c-55395db5c132.spold,"market for electricity, high voltage",NZ,"electricity, high voltage",kWh,0.0005308283320644799,0.16130262221258998,1.6302106974383237,0.0008056856054730391,5.1475013432898194e-8,4.12857633477338e-8,2.223844829930008e-9,0.0008098209895325527,0.0037009954274671956,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
00426432-0f7d-5032-b90a-cca53ca32e89_4763bc2c-e81a-4aaa-8889-ac0b5cf677ff.spold,"chromium steel milling, small parts",RoW,"chromium steel removed by milling, small parts",kg,0.04094574901236637,12.314100411417517,935.2213965287145,0.11418874288670179,3.060842895860974e-5,4.0746699543297386e-5,1.0117327605868067e-7,0.014944520623660258,0.510825668076597,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
004d4081-e460-5c65-bc10-a974753480ff_a5fc651b-3ee2-405f-b2f0-d035c8132be1.spold,"market for metal working, average for chromium steel product manufacturing",GLO,"metal working, average for chromium steel product manufacturing",kg,0.0070822396512174104,3.0428016041532056,303.751484279212,0.013042025711710913,1.1619021293361473e-5,1.0836940624849467e-5,2.495943309500318e-8,0.006169529845732392,0.12757681817810823,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
004e8f1b-3819-5dd2-a088-315702ee0013_e74d0fca-8199-5337-b0e5-08c24e28fd9e.spold,"basic oxygen furnace slag to market for basic oxygen furnace slag, for recovery",RoW,basic oxygen furnace slag,kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
00546852-e04c-5808-a8d6-3ffecbbe8d16_2b12ef70-6607-4c11-9e28-c247ec9b59ce.spold,"zinc coating, pieces",RoW,"zinc coat, pieces",m2,0.025919911532172817,7.741409103984389,828.9046687519082,0.021467822120324654,1.8399403029866084e-5,4.014683071853701e-5,1.2726968611380788e-7,0.006518249217129247,0.4203881965335466,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
0054c1bf-3264-5ec2-b388-c695071c658c_1125e767-7b5d-442e-81d6-9b0d3e1919ac.spold,"heat production, natural gas, at industrial furnace low-NOx >100kW",CA-QC,"heat, district or industrial, natural gas",MJ,4.3775068141941254e-5,0.07518757996628368,0.09163621091708685,7.406129995778161e-6,6.650281006939126e-9,2.0453625153111574e-9,4.807066411885566e-10,3.431323887330605e-6,0.0012459988304441604,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
005699da-8df3-54f3-a321-19a7c29ab364_ad551fe0-84c5-471a-9acf-b7d2204fdb65.spold,"market for manure, liquid, cattle",GLO,"manure, liquid, cattle",kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
00575d77-3c46-5a85-a67d-d68286f3376f_4ec94c17-2c74-47d0-bd57-38e762ed5ca9.spold,anhydrite floor production,RoW,anhydrite floor,kg,0.0002488685693980123,0.06539006992984071,1.6911718178961241,0.0007683132438266434,3.23057070363481e-8,1.7000856169724543e-8,6.718729777554487e-10,0.00014754328397699695,0.006122699091978648,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
0057e9cb-1233-5b5c-9217-beec2aa65c53_66c93e71-f32b-4591-901c-55395db5c132.spold,"electricity production, natural gas, conventional power plant",IR,"electricity, high voltage",kWh,0.0005896514627775515,0.6730491425065087,1.262336734315724,0.00013426748683524714,3.097934570319369e-8,1.5679090228326965e-8,1.1443406847747485e-8,4.1201976878417074e-5,0.016786864200021043,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
005844a0-8f73-57e1-b400-0111aebb265a_93a276cb-c88c-4fd2-81be-1005c720e285.spold,motor scooter production,RER,"motor scooter, 50 cubic cm engine",unit,3.08903399206769,465.20353531535875,49338.09584118124,2.3605120935321113,0.0006841121543755358,0.0005963759542197065,7.338994784378805e-6,0.6056974897138065,21.816295228673862,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
0058b28f-9884-51d2-87e9-d766b00a9a3f_302181f3-33eb-4e0d-bb42-c50474f2b402.spold,"treatment of sewage sludge, 97% water, WWT, condensate from light oil boiler, landfarming",RoW,"sewage sludge, 97% water, WWT, condensate from light oil boiler",kg,3.285483289990995e-5,0.03877676985965664,3.661802478970302,5.0400316774411964e-5,4.3013641108388975e-8,2.0543560684731026e-7,1.9353291340820894e-11,2.092517729332679e-6,0.0003611680666225453,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
0058b28f-9884-51d2-87e9-d766b00a9a3f_60e40c5e-8a0e-52f7-8c7f-2664ac536903.spold,"treatment of sewage sludge, 97% water, WWT, condensate from light oil boiler, landfarming",RoW,"organic nitrogen fertiliser, as N",kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
0058da4e-8228-543e-b04d-e0dd521c4e93_66c93e71-f32b-4591-901c-55395db5c132.spold,"treatment of blast furnace gas, in power plant",CN-GD,"electricity, high voltage",kWh,0.0006188679588614904,2.3680095940609123,0.7224111391551334,7.339178052622203e-5,3.769529355440008e-9,3.788239818742121e-9,5.16976281751462e-11,3.182048316279516e-5,0.02320850134023659,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
