filename,activity_name,location,reference_product,reference_product_unit,traci_acidification,traci_climate_change,traci_ecotoxicity_freshwater,traci_eutrophication,traci_human_toxicity_carcinogenic,traci_human_toxicity_non-carcinogenic,traci_ozone_depletion,traci_particulate_matter_formation,traci_photochemical_oxidant_formation,traci_units,cost_per_unit,cost_source
greet2_2025_limn2o4_li2co3_glo_r89_cb_full_technosphere,"lithium carbonate (Li2CO3), GREET average supply mix",GLO,lithium carbonate,kg,0.0243369,11.0685,0,0.000691662,0,0,0,0.00361331,0.394366,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_li_chemicals_li2co3_us_r106_cn_full_technosphere,"lithium carbonate (Li2CO3), US production",US,lithium carbonate,kg,0.0108991,7.55785,0,0.000407957,0,0,0,0.00205445,0.232075,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_li_chemicals_li2co3_cl_li_chemicals_c30_ethanol_r106_cj_full_technosphere,"lithium carbonate (Li2CO3), from brine, Chile",CL,lithium carbonate,kg,0.00786576,2.4757,0,0.000274051,0,0,0,0.0018534,0.15626,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_li_chemicals_li2co3_au_r106_cs_full_technosphere,"lithium carbonate (Li2CO3), from spodumene ore, Australia",AU,lithium carbonate,kg,0.0378133,18.0989,0,0.00103334,0,0,0,0.00505325,0.58918,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_battery_sum_lithium_hydoxide_lioh_us_r539_cc_full_technosphere,"lithium hydroxide (LiOH), GREET average supply mix",US,lithium hydroxide,kg,0.051363,21.3092,0,0.00151004,0,0,0,0.00649427,0.861351,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_li_chemicals_lioh_cl_li_chemicals_c30_ethanol_r106_ck_full_technosphere,"lithium hydroxide (LiOH), from brine, Chile",CL,lithium hydroxide,kg,0.0284567,10.9155,0,0.00107712,0,0,0,0.00832334,0.624805,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_li_chemicals_lioh_au_r106_ct_full_technosphere,"lithium hydroxide (LiOH), from spodumene ore, Australia",AU,lithium hydroxide,kg,0.0570896,23.9076,0,0.00161826,0,0,0,0.006037,0.920488,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_li_chemicals_spodumene_concentrate_from_ore_mining_and_processing_au_r106_cr_full_technosphere,"spodumene concentrate, ore mining and processing",AU,spodumene concentrate,kg,0.00175451,0.434427,0,7.30128e-05,0,0,0,0.000166014,0.0412776,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_anode_metallic_lithium_total_us_r142_cd_full_technosphere,"lithium metal, electrolysis of LiCl",US,lithium metal,kg,0.031842,17.0678,0,0.00104184,0,0,0,0.00438623,0.595952,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_battery_materials_lipf6_us_r88_cd_full_technosphere,lithium hexafluorophosphate (LiPF6) production,US,lithium hexafluorophosphate,kg,0.0224419,8.64576,0,0.000439053,0,0,0,0.00189198,0.25204,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
